Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"854198-1","Gear","Key Chains/Harry Potter",2022,"Dumbledore Key Chain",,,4.99,5.99,7.99,5.99,,673419364942,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854199-1","Gear","Key Chains/Looney Tunes",2022,"Daffy Duck Key Chain",,,4.99,5.99,7.99,5.99,,673419365956,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854200-1","Gear","Key Chains/Looney Tunes",2022,"Tweety Key Chain",,,4.99,5.99,7.99,5.99,,673419365963,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854203-1","Gear","Key Chains/Disney",2022,"Eeyore Key Chain",,,4.99,5.99,7.99,5.99,,673419363815,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"892285-1","Ninjago","Magazine Gift",2022,"Benthomaar",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.4700,5.2500,"",""
"892286-1","Ninjago","Magazine Gift",2022,"Lloyd",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.0800,,"",""
"892287-1","Ninjago","Magazine Gift",2022,"Glutinous",1,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.8000,,"",""
"892288-1","Ninjago","Magazine Gift",2022,"Zane",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.6400,,"",""
"892289-1","Ninjago","Magazine Gift",2022,"Jay",1,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.4300,,"",""
"892290-1","Ninjago","Magazine Gift",2022,"Cole",1,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.6400,,"",""
"892291-1","Ninjago","Magazine Gift",2022,"Golden Dragon Kai",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.8300,,"",""
"892292-1","Ninjago","Magazine Gift",2022,"Lloyd",1,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.8700,,"",""
"910002-1","Bricklink","2021 Designer Program",2022,"Studgate Train Station",,4062,299.99,399.99,,339.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"910003-1","Bricklink","2021 Designer Program",2022,"Mountain Windmill",,2085,132.99,179.99,,149.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,273.4900,,"",""
"910004-1","Bricklink","2021 Designer Program",2022,"Winter Chalet",,2705,149.99,199.99,,169.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"910008-1","Bricklink","2021 Designer Program",2022,"Modular Construction Site",,3371,245.99,319.99,,269.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"910009-1","Bricklink","2021 Designer Program",2022,"Modular LEGO Store",,2149,132.99,179.99,,149.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,429.2100,350.0300,"",""
"910011-1","Bricklink","2021 Designer Program",2022,"1950's Diner",,1377,99.99,129.99,,109.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"910013-1","Bricklink","2021 Designer Program",2022,"Retro Bowling Alley",5,2779,169.99,229.99,,189.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,378.6400,,"",""
"910015-1","Bricklink","2021 Designer Program",2022,"Clockwork Aquarium",,874,49.99,64.99,,54.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,139.9600,116.7100,"",""
"910023-1","Bricklink","2021 Designer Program",2022,"Venetian Houses",13,3470,219.99,289.99,,244.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,500.9100,,"",""
"910027-1","Bricklink","2021 Designer Program",2022,"Mountain View Observatory",,3889,179.99,249.99,,209.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"912281-1","Star Wars","Magazine Gift",2022,"Clone Trooper",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.2300,,"",""
"912282-1","Star Wars","Magazine Gift",2022,"AT-AT",,52,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.1300,,"",""
"912283-1","Star Wars","Magazine Gift",2022,"Tusken Raider",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.4200,,"",""
"912284-1","Star Wars","Magazine Gift",2022,"Razor Crest",,41,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.2900,,"",""
"912285-1","Star Wars","Magazine Gift",2022,"Darth Maul",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.4600,,"",""
"912286-1","Star Wars","Magazine Gift",2022,"Mandalorian Warrior",1,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.2300,,"",""
"912287-1","Star Wars","Magazine Gift",2022,"Mandalorian Starfighter",,31,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.8400,,"",""
"952201-1","City","Magazine Gift",2022,"Justin Justice's Police Car",1,31,4.5,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.8000,,"",""
"952202-1","City","Magazine Gift",2022,"Pete Precise's Drill",1,26,4.5,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.5600,,"",""
"952203-1","City","Magazine Gift",2022,"Sam Speedster's Motorcycle",1,12,4.5,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.3800,3.6300,"",""
"952204-1","City","Magazine Gift",2022,"Phil Corey's Dump Truck",1,26,4.5,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.6600,,"",""
"952205-1","City","Magazine Gift",2022,"Sally Stardust's Satellite",1,22,4.5,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.2500,,"",""
"952206-1","City","Magazine Gift",2022,"Freddy Fresh's Fire Quad",1,31,4.5,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.7300,,"",""
"952207-1","City","Magazine Gift",2022,"Police Jetski",1,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0900,,"",""
"952208-1","City","Magazine Gift",2022,"Police Diver with Underwater Scooter",1,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0200,,"",""
"2000727-1","Education","SPIKE Essential",2022,"SPIKE Essential Minifigures",,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4000037-1","Miscellaneous","LEGO Inside Tour Exclusive",2022,"LEGO Factory AGV",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4000038-1","Miscellaneous","LEGO internal",2022,"LEGO Campus",,1494,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,752.2200,,"",""
"5005964-1","Gear","Stationery",2022,"12 Pack Gel Pen Set",,,21.99,,,24.99,4895028516390,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006132-1","Gear","Storage",2022,"8 Stud Brick Drawer Blue",,,44.99,,,47.99,5711938029517,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006133-1","Gear","Storage",2022,"8 Stud Brick Drawer Yellow",,,44.99,,,47.99,5711938029524,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006140-1","Gear","Storage",2022,"Storage brick drawer 4, Red",,,17.99,,,18.99,5711938032067,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006141-1","Gear","Storage",2022,"Storage brick drawer 4, blue",,,17.99,,,18.99,5711938032074,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006142-1","Gear","Storage",2022,"LEGO 8 Stud Red Storage Brick Drawer",,,24.99,,,26.99,5711938032012,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006144-1","Gear","Storage",2022,"Storage Head Small Boy",,,12.99,,,14.99,5711938030193,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006145-1","Gear","Storage",2022,"Storage Head Small Girl",,,12.99,,,14.99,5711938030186,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006147-1","Gear","Storage",2022,"Storage Head Large Girl",,,21.99,,,24.99,5711938030209,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006151-1","Gear","Storage",2022,"8 Minifigure Display Case Red",,,17.99,16.99,18.99,19.99,5711938023577,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006154-1","Gear","Storage",2022,"Minifigure Display Case 16 Red",,,29.99,,,32.99,5711938023607,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006169-1","Gear","Storage",2022,"4 Stud Storage Brick Light Blue",,,21.99,,,24.99,5706773400362,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006170-1","Gear","Storage",2022,"4 Stud Yellow Storage Brick Drawer",,,24.99,,,29.99,5711938029432,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006174-1","Gear","Magnets",2022,"Magnet Set Red",,,7.99,,,8.99,5711938032982,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006175-1","Gear","Magnets",2022,"Magnet Set Blue",,,7.99,,,8.99,5711938033095,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006176-1","Gear","Magnets",2022,"Magnet Set Yellow",,,7.99,,,8.99,5711938033101,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006181-1","Gear","Storage",2022,"4 Stud Brick Drawer Light Blue",,,24.99,,,29.99,5711938029470,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006183-1","Gear","Storage",2022,"4 Stud Blue Mini Box",,,,3.99,3.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006311-1","Gear","Storage",2022,"8 Stud Brick Drawer Light Blue",,,44.99,,,47.99,5711938029562,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006312-1","Gear","Storage",2022,"4 Stud Desk Drawer Black",,,17.99,,,18.99,5711938031909,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006313-1","Gear","Storage",2022,"4 Stud Desk Drawer White",,,17.99,,,18.99,5711938031916,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006337-1","Gear","Video Games/Xbox Series XS & Xbox One",2022,"LEGO Star Wars: The Skywalker Saga Deluxe Edition - Xbox Series XS & Xbox One",,,59.99,,,69.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006338-1","Gear","Video Games/PS4",2022,"LEGO Star Wars: The Skywalker Saga Deluxe Edition - PlayStation 4",,,59.99,,,69.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006339-1","Gear","Video Games/Nintendo Switch",2022,"LEGO Star Wars: The Skywalker Saga Deluxe Edition - Nintendo Switch",,,59.99,,,69.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006358-1","Gear","Bags",2022,"Brick Backpack 1 Stud Red",,,44.99,39.99,44.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006578-1","Gear","Storage",2022,"4 Stud Brick Shelf Bright Red",,,17.99,,,19.99,5711938033064,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006590-1","Gear","Storage",2022,"Storage Head Small Pumpkin",,,,12.99,14.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006591-1","Gear","Storage",2022,"Storage Head Small Skeleton",,,,12.99,14.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006848-1","Gear","Lights",2022,"Shark Suit Guy Key Light",,,9.99,,,12.99,4895028528348,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006858-1","Gear","Bag Tags",2022,"Statue of Liberty Bag Tag",,,,9.99,9.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006866-1","Gear","Storage",2022,"Storage Brick Multi Pack 4 Pieces",,,,34.99,40.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006867-1","Gear","Storage",2022,"8 Stud Storage Brick Red",,,34.99,39.99,42.99,37.99,5706773400409,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006868-1","Gear","Storage",2022,"2 Stud Storage Brick Black",,,,15.99,17.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006869-1","Gear","Storage",2022,"2 Stud Storage Brick White",,,,15.99,17.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006872-1","Gear","Storage",2022,"8 Stud Brick Drawer Green",,,,39.99,43.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006875-1","Gear","Storage",2022,"4 Stud Desk Drawer Gray",,,17.99,,,18.99,5711938032005,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006876-1","Gear","Storage",2022,"8 Stud Desk Drawer Black",,,24.99,,,26.99,5711938032036,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006877-1","Gear","Storage",2022,"8 Stud Desk Drawer White",,,24.99,24.99,26.99,26.99,5711938032043,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006878-1","Gear","Storage",2022,"8 Stud Desk Drawer Gray",,,24.99,24.99,26.99,26.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006906-1","Gear","Games",2022,"LEGO Brick Playing Cards",,,14.99,,,16.99,9781797210711,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006912-1","Gear","Storage",2022,"8 Stud Storage Brick Black",,,34.99,39.99,42.99,37.99,5706773400430,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006913-1","Gear","Storage",2022,"8 Stud Storage Brick White",,,34.99,,,37.99,5706773400454,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006915-1","Gear","Storage",2022,"8 Stud Storage Brick Gray",,,34.99,39.99,42.99,37.99,5711938034283,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006916-1","Gear","Storage",2022,"8 Stud Storage Brick Yellow",,,34.99,,,37.99,5706773400423,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006918-1","Gear","Storage",2022,"8 Stud Storage Brick Light Blue",,,34.99,,,37.99,5706773400461,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006921-1","Gear","Storage",2022,"8 Stud Storage Brick Blue",,,34.99,,,37.99,5706773400416,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006929-1","Gear","Storage",2022,"4 Stud Storage Brick Green",,,,24.99,27.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006930-1","Gear","Storage",2022,"4 Stud Storage Brick Black",,,21.99,24.99,27.99,24.99,5706773400331,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006931-1","Gear","Storage",2022,"4 Stud Storage Brick White",,,21.99,24.99,27.99,24.99,5706773400355,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006933-1","Gear","Storage",2022,"4 Stud Storage Brick Dark Gray",,,21.99,,,24.99,5711938034276,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006936-1","Gear","Storage",2022,"4 Stud Storage Brick Azure Blue",,,,24.99,27.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006947-1","Gear","Storage",2022,"Classic Box Red",,,,9.99,10.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006968-1","Gear","Storage",2022,"4 Stud Storage Brick Red",,,21.99,,,24.99,5706773400300,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006969-1","Gear","Storage",2022,"4 Stud Storage Brick Blue",,,21.99,,,24.99,5706773400317,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006974-1","Gear","Storage",2022,"Sorting Box Blue",,,,15.99,16.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006997-1","Gear","Storage",2022,"1 Stud Round Storage Brick Red",,,,9.99,10.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006998-1","Gear","Storage",2022,"1 Stud Round Storage Brick Blue",,,,9.99,10.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006999-1","Gear","Storage",2022,"1 Stud Round Storage Brick Yellow",,,,9.99,10.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007000-1","Gear","Storage",2022,"1 Stud Round Storage Brick Black",,,,10.99,11.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007001-1","Gear","Storage",2022,"1 Stud Round Storage Brick Green",,,,9.99,10.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007002-1","Gear","Storage",2022,"1 Stud Round Storage Brick White",,,,9.99,10.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007004-1","Gear","Storage",2022,"8 Stud Mini Box Red",,,,3.99,4.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007065-1","Gear","Puzzle",2022,"Mystery Minifigure Mini Puzzle (Red Edition)",,,7.99,8.99,11.99,8.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007067-1","Gear","Jigsaw",2022,"LEGO IDEAS Minifigure Space Mission Puzzle",,,15.99,17.99,19.99,17.99,9781797214146,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007073-1","Gear","Storage",2022,"4 Stud Brick Drawer Gray",,,21.99,24.99,27.99,24.99,5711938015565,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007089-1","Gear","Clothing",2022,"Vintage-style Octan Cap",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007090-1","Gear","Clothing",2022,"Retro Space Logo Cap",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007093-1","Gear","Key Chains/Promotional",2022,"Retro Spinning Keychain 1950s Logo",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007094-1","Gear","Clothing",2022,"Kids Silly Face Cap",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007126-1","Gear","Storage",2022,"8 Stud Storage Brick Light Purple",,,34.99,,,37.99,5706773400485,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007128-1","Gear","Storage",2022,"4 Stud Storage Brick Yellow",,,21.99,,,24.99,5706773400324,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007138-1","Gear","Bag Tags",2022,"The Mandalorian Bag Tag",,,5.99,6.99,6.99,6.99,4895028529222,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007155-1","Gear","Tin Signs",2022,"Ninjago Tin Sign",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007156-1","Gear","Tin Signs",2022,"City Tin Sign",,,,,,,,,30,15,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007157-1","Gear","Tin Signs",2022,"Friends Tin Sign",,,,,,,,,30,15,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007158-1","Gear","Tin Signs",2022,"Rebuild the World Tin Sign",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007159-1","Gear","Tin Signs",2022,"LEGO Logo Tin Sign",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007181-1","Gear","Housewares",2022,"Fire Chief 46 in x 60 in Throw",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007182-1","Gear","Housewares",2022,"City Town Map 46 in x 60 in Throw",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007183-1","Gear","Housewares",2022,"City Police 46 in x 60 in Throw",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007184-1","Gear","Housewares",2022,"Butterfly 46 in x 60 in Throw",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007185-1","Gear","Housewares",2022,"Mermaid 46 in x 60 in Throw",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007195-1","Gear","Stationery",2022,"2 0 Convertible Ruler with Minifigure",,,4.99,,,4.99,4895028525583,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007196-1","Gear","Stationery",2022,"3-pack highlighter",,,9.99,,,12.99,4895028516857,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007197-1","Gear","Stationery",2022,"2 0 12 Pack Colored Pencils with Topper",,,9.99,,,12.99,4895028520649,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007203-1","Gear","Games",2022,"LEGO City Pair Game",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007219-1","Gear","DOTS",2022,"DOTS Felt Stickers",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007220-1","Gear","DOTS",2022,"Craft Tape",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007226-1","Gear","Stationery",2022,"Stormtrooper Notebook",,,8.99,,,9.99,4895028522179,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007227-1","Gear","Stationery",2022,"Boba Fett Notebook",,,8.99,,,9.99,4895028522186,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007228-1","Gear","Stationery",2022,"Lightsaber Gel Pen Multipack",,,4.99,,,4.99,4895028523480,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007229-1","Gear","Bag Tags",2022,"Shark Suit Guy Bag Tag",,,5.99,,,6.99,4895028525408,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007230-1","Gear","Lights",2022,"1x1 Brick NiteLite Blue",,,17.99,,,19.99,4895028525521,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007231-1","Gear","Lights",2022,"1x1 Brick NiteLite Red",,,17.99,,,19.99,4895028525538,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007232-1","Gear","Lights",2022,"1x1 Brick NiteLite Pink",,,17.99,,,19.99,4895028525545,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007233-1","Gear","Lights",2022,"1x1 Brick NiteLite White",,,17.99,,,19.99,4895028525552,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007234-1","Gear","Lights",2022,"1x1 Brick NiteLite Yellow",,,17.99,,,19.99,4895028525576,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007237-1","Gear","Stationery",2022,"Notebook with Gel Pen Blue",,,14.99,,,16.99,4895028522575,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007238-1","Gear","Stationery",2022,"Notebook with Gel Pen Violet",,,14.99,,,16.99,4895028524456,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007239-1","Gear","Stationery",2022,"Notebook with Gel Pen Red",,,14.99,19.99,19.99,16.99,4895028524395,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007240-1","Gear","Stationery",2022,"Notebook with Gel Pen Orange",,,14.99,19.99,19.99,16.99,4895028524401,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007241-1","Gear","Stationery",2022,"Notebook with Gel Pen Yellow",,,14.99,,,16.99,4895028524418,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007242-1","Gear","Stationery",2022,"Notebook with Gel Pen Lime",,,14.99,19.99,19.99,16.99,4895028524425,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007243-1","Gear","Stationery",2022,"Notebook with Gel Pen Green",,,14.99,19.99,19.99,16.99,4895028524432,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007244-1","Gear","Stationery",2022,"Notebook with Gel Pen Azure",,,14.99,19.99,19.99,16.99,4895028524449,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007245-1","Gear","Stationery",2022,"Notebook with Gel Pen Lavender",,,14.99,,,16.99,4895028524388,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007246-1","Gear","Stationery",2022,"Locking Notebook with Gel Pen",,,14.99,19.99,19.99,16.99,4895028524463,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007247-1","Gear","Stationery",2022,"Notebook with Gel Pen Black",,,14.99,,,16.99,4895028524470,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007267-1","Gear","Storage",2022,"4 Stud Storage Brick Light Purple",,,21.99,,,24.99,5706773400386,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007268-1","Gear","Storage",2022,"8 Stud Storage Brick Stone Gray",,,34.99,,,37.99,5711938015688,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007272-1","Gear","Housewares",2022,"Hydration Bottle Lavender",,,15.99,,,17.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007273-1","Gear","Housewares",2022,"Minifigure Lunch Set",,,12.99,,,14.99,5711938030469,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007274-1","Gear","Housewares",2022,"Friends: Girls Rock! Lunch Set",,,12.99,,,14.99,5711938032128,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007275-1","Gear","Housewares",2022,"Ninjago Lunch Set",,,12.99,,,14.99,5711938030476,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007279-1","Gear","Storage",2022,"Sorting Box Blue",,,12.99,,,14.99,5711938249991,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007280-1","Gear","Storage",2022,"4 Stud Brick Shelf Blue",,,17.99,,,19.99,5711938033446,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007281-1","Gear","Storage",2022,"4 Stud Brick Shelf Black",,,17.99,,,19.99,5711938033453,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007282-1","Gear","Storage",2022,"4 Stud Brick Shelf White",,,17.99,,,19.99,5711938033477,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007283-1","Gear","Storage",2022,"4 Stud Brick Shelf Gray",,,17.99,,,19.99,5711938033460,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007284-1","Gear","Storage",2022,"8 Stud Brick Shelf Bright Red",,,24.99,,,29.99,5711938033149,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007285-1","Gear","Storage",2022,"8 Stud Brick Shelf Blue",,,24.99,,,29.99,5711938033484,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007286-1","Gear","Storage",2022,"8 Stud Brick Shelf Black",,,24.99,,,29.99,5711938033491,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007287-1","Gear","Storage",2022,"8 Stud Brick Shelf White",,,24.99,,,29.99,5711938033514,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007288-1","Gear","Storage",2022,"8 Stud Brick Shelf Gray",,,24.99,,,29.99,5711938033507,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007290-1","Gear","Lights",2022,"Darth Vader Key Light",,,12.99,,,14.99,4895028520496,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
